PMI china,Crude Oil (petroleum); West Texas Intermediate - Monthly Price,"investment of real estate,
 accumulated (100 milion yuan)","Value of Export Delivery of Manufacture of Raw Chemical Materials and Chemical Products, Current Period(100 million yuan)","Natural Gas - Monthly Price- spot price at Henry Hub, Louisiana",methanol spot price RMB
50.3,100.57,15339,366.7,4.88,2662.00
50.4,102.08,22322,350.1,4.63,2512.00
50.8,101.86,30739,370.8,4.56,2472.00
51,105.24,42019,383.6,4.57,2437.00
51.7,102.94,50381,374,4.01,2463.00
51.1,96.38,58975,369.5,3.88,2578.00
51.1,93.22,68751,388.1,3.92,2463.00
50.8,84.4,77220,380.9,3.77,2456.00
50.3,75.81,86601,390.2,4.1,2090.00
50.1,59.26,95036,417.9,3.43,1876.00
49.8,47.27,9504,375.4736842,2.97,2050.00
49.9,50.61,8786,375.4736842,2.85,2160.00
50.1,47.78,16651,366.6,2.8,2318.00
50.1,54.44,23669,344,2.58,2326.00
50.2,59.27,32292,357.7,2.84,2316.00
50.2,59.8,43955,367.3,2.77,2128.00
50,50.9,52562,347.4,2.83,1908.00
49.7,42.86,61063,332,2.76,1900.00
49.8,45.45,70535,342.2,2.65,1830.00
49.8,46.2,78801,341.1,2.32,1834.00
49.6,42.7,87702,362.4,2.08,1718.00
49.7,37.23,95979,410.2,1.92,1696.00
49.4,31.54,9598,375.4736842,2.27,1738.00
49,30.39,9052,375.4736842,1.96,1890.00
50.2,37.77,17677,345,1.7,1902.00
50.1,40.96,25376,331.4,1.9,1860.00
50.1,46.73,34564,377.4,1.92,1844.00
50,48.75,46631,391.9,2.57,1788.00
49.9,44.69,55361,347.8,2.79,1785.00
50.4,44.75,64387,344.7,2.79,1934.00
50.4,45.2,74598,379.9,2.97,2282.00
51.2,49.89,83975,357.5,2.95,2410.00
51.7,45.57,93387,382.8,2.5,2878.00
51.4,52.01,102581,422.3,3.58,2720.00
51.3,52.51,10258,375.4736842,3.26,2860.00
51.6,53.4,9854,375.4736842,2.82,2564.00
51.8,49.58,19292,398.7,2.87,2440.00
51.2,51.06,27732,378.2,3.08,2310.00
51.2,48.5,37595,429,3.12,2196.00
51.7,45.17,50610,452.9,2.94,2260.00
51.4,46.65,59761,397.2,2.96,2612.00
51.7,48.03,69494,407.3,2.88,2746.00
52.4,49.83,80644,422.1,2.96,2719.00
51.6,51.56,90544,393.1,2.87,3125.00
51.8,56.65,100387,414.1,2.99,3298.00
51.6,57.94,109799,445,2.76,2986.25
51.3,63.67,10980,375.4736842,3.88,2610.00
50.3,62.17,10831,375.4736842,2.67,2730.00
51.5,62.76,21291,391.6,2.69,2922.50
51.4,66.32,30592,371.7,2.76,2938.75
51.9,69.98,41420,393.9,2.78,2722.50
51.5,67.52,55531,398.5,2.94,2793.75
51.2,70.84,65886,377.4,2.8,3015.00
51.3,67.99,76519,381.8,2.96,3271.25
50.8,70.21,88665,403,3,3195.00
50.2,70.75,99325,366.3,3.29,2387.50
50,56.67,110083,377.9,4.14,2188.00
49.4,48.95,120264,401.6,3.95,2212.00
49.5,51.52,12026,375.4736842,3.08,2430.00
49.2,54.95,12090,375.4736842,2.72,2378.00
50.5,58.15,23803,361.8,2.94,2174.00
50.1,63.87,34217,340,2.65,2334.00
49.4,60.84,46075,343.1,2.63,2180.00
49.4,54.68,61609,340.1,2.4,1970.00
49.7,57.52,72843,338.2,2.36,1994.00
49.5,54.84,84589,313,2.22,2310.00
