supposed port_warehouse,??? ???? (????)
13789,8357649
10513,9654624
72550,12316215
913,14085547
16787,13503042
40097,13816292
86482,11573225
97458,11197830
68612,9644341
22820,10516488
47479,11045058
32088,12874586
59144,14270067
119980,13877789
169456,16503742
45484,18342503
149040,19108108
59762,17886690
23335,16852296
22217,16479886
35915,17329103
71616,16908230
25346,23636143
85719,28998748
167027,29686238
101068,30309659
51540,21659522
112846,20755091
82409,21665321
96435,26484906
73093,26490245
85638,30210543
47014,29550488
118633,30081184
55265,28194518
146137,23978145
